Name,City,Street,Housenumber,State,Postcode,Latitude,Longitude,Emergency,Speciality,Phone,Website
Fortis Hospital,bangalore,"West of Chord Road,, Opp Rajajinagar 1st Block Junction",111,N/A,560010,12.9881648,77.5548179,N/A,N/A,080-2300-4444,fortisbangalore.com
Healing Earth Multispeciality Ayurveda Hospital,Bengaluru,"HSR Ring Road, 5th Sector , HSR Layout, Karnataka",149,N/A,560034,12.9165359,77.6361865,N/A,N/A,080674 75757,https://www.healingearth.co.in/
Global Ayurveda Multispeciality Hospital,Bengaluru,"HSR Ring Road, 5th Sector , HSR Layout, Jakkasandra, 1st Block Koramangala, HSR Layout, Karnataka",149,N/A,560034,12.9165795,77.6362187,N/A,N/A,080674 75757,https://www.healingearth.co.in/
Brahmi Ayurvedic Center,Bengaluru,"12th Main Road, Behind Ingu Tengu Restaurant, Off Bannerghatta Road, Shantiniketan Layout, Karnataka",311-B,N/A,560076,12.8830054,77.6073285,N/A,N/A,+9190086 54547,brahmi-ayurveda.com
Fj Merrit Hydrotherapy And Wellness,Bengaluru,"KAY ARR CORNER STONE 2nd Floor 80 Feet Road 4th Block, Koramangala,Karnataka",101,N/A,560034,12.9344224,77.6299785,N/A,N/A,080 4095 1282,N/A
Vedam Ayurveda Multispeciality Hospital,Bengaluru,"8th B Main Road, BTM Layout 1st Stage, KEB Colony, New Gurappana Palya, BTM Layout 1, Karnataka",57,N/A,560029,12.9175511,77.6039486,N/A,N/A,080 4120 2911,https://vedamayurveda.co.in/
Ayur jagruti,Bengaluru,"10th Cross Rd, Doopanahalli, Indiranagar, Karnataka",3718,N/A,560008,12.9667253,77.6378289,N/A,N/A,+9196633 81398,facebook.com
Herbocare Hospital Pvt,Bangalore,"4th B Cross, 7th A Main, 1st Block, HRBR Layout, Kalyan Nagar",714,N/A,560043,13.0204424,77.6440607,N/A,N/A,+9174064 30003,herbocare.info
""" NRS Medical & Dental Specialists Centre""",Bangalore,"80 Feet Road, 1st Stage, Srinivasa Nagar, Banashankari",5,N/A,560050,12.9378359,77.5573329,N/A,N/A,080-26696054,N/A
Chiranjeevi Hospital & Maternity Home,bangalore,"2nd Main, Bsk 1st Stage, 80 Feet Road, Srinivasa Nagar,Sree Manjunatha Temple Street",60,Karnataka,560050,12.9386994,77.5518394,N/A,N/A,080 2691 7676,N/A
"Vinayaka Hospital, Hanumantha Nagar",bangalore,"State Bank Of Mysore Colony, 1st Stage,80 Feet Road,, Banashankari",110,Karnataka,560050,12.9373748,77.5494778,N/A,N/A,080 2679 6167,http://dpal.kar.nic.in/Kanunu%20padakosha%20PDF%20Files/Recognised%20Hospitals.pdf
Diavista Diabetes & Multispeciality Hospital,Banglore,"11th Cross, 2nd Main, 80ft Main Road, SBM Colony, Giri Nagar 4th Phase",788,N/A,560050,12.9354293,77.5477956,N/A,N/A,080 4096 9392,diavista.co.in
Meenakshi Hospital,Bengaluru,50 Feet Road,979/A,N/A,560085,12.9420715,77.553698,N/A,N/A,+918026755800,N/A
Medi-Tech Multi Speciality Hospital,bangalore,"9th Main, 2nd Block, Hanumantha Nagar, Near-Shaneshwara Temple Road, Banashankari 1st Stage",795/1,Karnataka,560050,12.9408667,77.5603657,N/A,N/A,080 2660 2910,N/A
Kusuma Hospital,bangalore,"Nagendra Block, 50ft Road, 10th Main Rd, Srinagar, Banashankari",237/37,N/A,560050,12.9420124,77.5506918,N/A,N/A,080 2642 1177,N/A
Ring Road Hospital,Bangalore,"1st Main Road, Kathreguppe Cross Road, Kathreguppe, Banashankari 3rd Stage",165,N/A,560085,12.9274553,77.5516293,N/A,N/A,080 2679 7040,N/A
Pulse Multispecialty Hospital,bangalore,"20th Main Road, Muneshwara Block, Girinagar, 1st phase Girinagar, Kadavanthra, Banashankari",5/8/1,N/A,560085,12.9389007,77.5438808,N/A,N/A,080 2672 4466,N/A
Surya Galaxy Hospital,bangalore,",2nd Main,1st Block,4th Phase,Kathriguppe,BSK 3rd Stage, Water Tank Road, Banashankari","103,994",N/A,560085,12.9316792,77.5450887,N/A,N/A,080 2642 1051,N/A
Surya Diagnostics and Health Services,Bangalore,"Hosur Road, Madiwala, Venkateshwara Layout, Sadduguntepalya",#1478/1,N/A,560029,12.9242825,77.6170883,yes,N/A,080 2552 6667,N/A
Ayushman Ayurvedic therapy centre,bangalore,"Millers Rd, Cantonment Railway Quarters",62,N/A,N/A,12.9946163,77.6023871,N/A,N/A,+91 95356 68668,ayushmanayurvedic.com
Pristine Hospital,Bangalore,"Dr. Modi Hospital Road, 2nd stage extension",877,N/A,560010,12.9984229,77.5403887,N/A,N/A,+9180 4135 4444,pristinehospitals.com
Sri Vinayaka Hospital,Bangalore,14th Main Road,1222,Karnataka,560040,12.9575029,77.5276466,N/A,N/A,080 2339 8062,N/A
Shathayu Ayurveda Wellness Centre,Bangalore,14th Main Road,N/A,N/A,560040,12.9573897,77.5276882,N/A,N/A,+91 8040999110,N/A
Hospital Sharavathi,Bangalore,"30 Service Road Rpc Layout Vijaynagar, Chandra Layout",1133/f,N/A,560040,12.9594984,77.5275515,N/A,N/A,+918023300222,N/A
Arogya Kendra,Bangalore,"Adichunchangiri Shopping Complex Adichunchangirishpgcplx Vjyngrb40 Vijaynagar, Attiguppe",N/A,N/A,560040,12.9735891,77.5443283,N/A,N/A,+918023400463,N/A
The Family Doctor Malleswaram,bangalore,10A Crossroad,N/A,N/A,560010,13.0029689,77.5526666,N/A,N/A,+9180 2337 6262,https://thefamilydoctor.co.in/
Venkat Charmalaya,Bangalore,"7 Subbanna Garden Vijaynagar, Attiguppe",3437,N/A,560040,12.9644231,77.5333324,N/A,N/A,+918023392788,N/A
V Care Medical Systems P Ltd,N/A,"S V Complex Magadi Main Vijaynagar, Magadi Road",30/2,N/A,N/A,12.9787049,77.5403581,N/A,N/A,+918023110651,N/A
Manasa Hospital,Bangalore,Nagarabhavi Road,N/A,Karnataka,560040,12.968821,77.5246297,N/A,N/A,+918023104640,http://www.manasa.in/
Saikrupa Hospital For Women's and Surgical Centre,Bangalore,"20th B Cross, Marenahalli Main Road, Govindaraja Nagar Ward, Vijayanagar",51/88,Karnataka,560040,12.9691657,77.5351921,N/A,N/A,+91080 2311 9592,http://dpal.kar.nic.in/Kanunu%20padakosha%20PDF%20Files/Recognised%20Hospitals.pdf
Cutis Academy of Cutaneous Sciences,Bangalore,"4th Main, MRCR Layout, Vijayanagar, Behind Godrej Interio, Near Veeresh Theatre, Govindaraja Nagar Ward, MC Layout, Vijayanagar",5/1,N/A,560040,12.9768117,77.5449094,N/A,N/A,080 4115 9049,N/A
Shreya Hearing Clinic,Bangalore,Chord Road,N/A,N/A,560040,12.9621516,77.533401,N/A,N/A,""" 080 2318 0012""",N/A
Acura Speciality Hospital,Bangalore,"5th Block, 17th C Main Road, KHB Colony , Koramangala",105,Karnataka,560095,12.9353208,77.6205504,N/A,N/A,+9180 4110 5151,https://www.seekandsource.com/acurahospital
Prasad Nethralaya,Bangalore,"Widia Layout, Chandra Layout Main Road, Govindaraja Nagar Ward, Widia Layout, Vijayanagar",NO.105,N/A,560040,12.9603312,77.5300796,N/A,N/A,080 2339 2807,N/A
Vijayanagar Global Hospital,Bangalore,"17th Cross, Near Main Bus Stand, M.C. Road, Vijayanagar",46,N/A,560040,12.9717905,77.5372864,N/A,N/A,080 4240 8200,N/A
Blossom Infertility Center,Bangalore,"1st Floor, Next to Sai Prasadam Hotel, 5th Main Rd, Hampi Nagar 2nd Stage, RPC Layout",221,N/A,560040,12.9649703,77.5389842,N/A,N/A,+91 99009 99116,N/A
Padmashree Nursing Home and Maternity Home,Bangalore,"1108/30 10Th Main 4Th Cross, Rpc Layout, Vijayanagar",30,N/A,560040,12.958321,77.5350434,N/A,N/A,080 2311 8372,N/A
Unknown Hospital,Bangalore,"1st Main Rd, Kaveri Layout, Govindaraja Nagar Ward, Anubhav Nagar, Vijayanagar",17,N/A,560040p,12.9639998,77.5302683,N/A,N/A,080 2335 2200,N/A
Dhanush Hospital,Bangalore,", Byraveshwara Nagar, 2nd Main, Moodalapalya, Nagarabhavi Main Road, 2nd Block, Govindaraja Nagar Ward",63,N/A,560072,12.9706209,77.5151893,N/A,N/A,080 2318 5544,N/A
"S K Hospital, Bengaluru Urban",Bangalore,Nagarabhavi Road,N/A,Karnataka,560072,12.957572,77.5184436,N/A,N/A,080 2321 3699,N/A
"Green City Hospital, Bengaluru Urban",Bengaluru,"Outer Ring Rd, Rose Garden, JP Nagar Phase 6, JP Nagar,",5,Karnataka,560078,12.9062193,77.580682,N/A,N/A,080 2653 6222,N/A
The Homoeo World,Bangalore,"2nd Cross Rd, Malleshwaram",1,N/A,560003,12.9947201,77.5715879,N/A,N/A,080 2346 1995,N/A
Modern Family Doctor Pvt Ltd,Bangalore,"1st Main Rd, Kaveri Layout, Govindaraja Nagar Ward, Anubhav Nagar, Vijayanagar,",17,N/A,560040,12.9698405,77.5327211,N/A,N/A,080 2335 2200,N/A
Oxford Hospital,Bangalore,"Mnr Arcade, Saraki Gate, Kanakapura Road, Saraki Gate",N/A,N/A,560078,12.9312101,77.5756907,N/A,N/A,080 2245 2500,N/A
R R Hospital & Trauma Centre,Bangalore,"8th cross, Gangadhar Nagar, 100 Feet Ring Road, J P Nagar,",11/2,N/A,560078,12.9059465,77.5904192,N/A,N/A,080 2671 8785,N/A
M N Speciality Clinic,bangalore,"24th Main Rd, KR Layout, 1st Phase, JP Nagar",9,N/A,560078,12.9039905,77.5859569,N/A,N/A,080 2653 0121,N/A
Prashanth Hospital,Bangalore,"Bommanahalli Circle, Hosur Main Road",90/D,N/A,560068,12.9067129,77.6265085,yes,N/A,080 4150 3714,https://www.prashanthhospitals.in/
Parimala Health Care,Bangalore,"Bannerghatta Road, Near Kalyani Kala Mantap, Bilekahalli, 2nd Cross Rd,, Ram Shetty Nagar, Bilekahalli",N/A,N/A,560076,12.9009278,77.5986641,yes,N/A,080 2658 3117,N/A
Vijay Diagnostic Centre,bangalore,"3rd Main,KEB Layout, BTM Layout  1","58,59",N/A,560029,12.9458746,77.5877756,yes,N/A,080 2668 4260,N/A
Dr Lal PathLabs,Bangalore,"Ground Floor, 1st Phase, 2nd Stage, Oppo. Ias Colony Ground, BTM Layout, Mahadeshwara Nagar, Stage 2, BTM 2nd Stage",#3,N/A,560068,12.924274,77.5680927,yes,N/A,080 4091 6014,https://www.lalpathlabs.com/
Welnext,Bangalore,"H.S.R Agara Circle, Sarjapura, Outer Ring Rd, Agara Village, HSR Layout","65/8, Third Floor",N/A,560102,12.9242869,77.6532853,yes,N/A,+9196960 00222,https://welnext.com/
Sri Sai Ram Hospital,N/A,Kanakapura Road,N/A,Karnataka,560062,12.8943049,77.5682821,N/A,N/A,N/A,http://www.srisairamhospital.com/
Tamara Hospital & IVF Centre,bangalore,Vidhya Vardhaka Sangha Road,34/3,N/A,560010,13.0044499,77.5530755,N/A,N/A,+91 80 2337 0780,https://tamarahealthcare.com/
ChanRe Rheumatology and Immunology Center and Research,N/A,N/A,N/A,N/A,N/A,12.995573,77.5354215,N/A,N/A,N/A,N/A
"Manasa Hospital, Vijayanagar",N/A,N/A,N/A,Karnataka,560040,12.9709463,77.5451059,N/A,N/A,N/A,N/A
Nagarathna Hospital,N/A,Dr. Vishnuvardhan Road,N/A,N/A,560061,12.9056092,77.5426964,N/A,N/A,N/A,N/A
Ramana Rao's clinic,N/A,N/A,N/A,N/A,N/A,13.0130826,77.5761449,N/A,N/A,N/A,N/A
Government Maternity Home,N/A,N/A,N/A,N/A,N/A,12.9983402,77.6200927,N/A,N/A,N/A,N/A
Lucid Medical Diagnostics,N/A,3 Main Road,46,N/A,560082,12.9306876,77.5794541,N/A,N/A,08049364444,https://luciddiagnostics.com/
Cauvery Orthopaedic Centre,N/A,N/A,N/A,Karnataka,560010,12.9984887,77.5504219,N/A,orthopaedics,N/A,N/A
"Apollo Bengaluru Cradle Limited, Jayanagar",N/A,N/A,N/A,Karnataka,560011,12.9168014,77.5851878,N/A,N/A,N/A,https://www.apollocradle.com/
"Nethradhama Superspeciality Eye Hospital, Rajajinagar",N/A,N/A,N/A,Karnataka,560021,12.997613,77.5509423,N/A,N/A,N/A,N/A
NIMHANS - Ashwini Block,N/A,N/A,N/A,N/A,N/A,12.9397588,77.59445,N/A,N/A,N/A,N/A
Comfort Multispeciality Hospital,N/A,N/A,N/A,Karnataka,560093,12.9817167,77.6800412,N/A,N/A,N/A,N/A
National Institute of Mental Health and Neuro Sciences,N/A,N/A,N/A,Karnataka,560029,12.9400669,77.5931597,N/A,N/A,N/A,N/A
NBRC(National Brain Research Center),N/A,N/A,N/A,N/A,N/A,12.9404277,77.5988406,N/A,N/A,N/A,N/A
Dr. Roshni's Tooth Planet Dental Clinic,Bengaluru,DRDO Phase 2 Main Road,#33,N/A,560048,12.9876335,77.6851595,yes,N/A,N/A,N/A
Cambridge Hospital,N/A,N/A,N/A,Karnataka,560008,12.9716236,77.6273835,N/A,N/A,N/A,N/A
Respigen healthcare,N/A,N/A,N/A,N/A,N/A,12.9555357,77.5918347,N/A,N/A,N/A,N/A
Doctor's diagnostics Centre,N/A,N/A,N/A,N/A,N/A,13.014746,77.6357881,N/A,N/A,N/A,N/A
Wellspring,N/A,N/A,N/A,N/A,N/A,13.0080001,77.5837482,N/A,N/A,N/A,N/A
Cloudnine Hospital Pvt. Ltd.,N/A,N/A,N/A,Karnataka,560001,12.9597752,77.6569127,N/A,N/A,N/A,N/A
Subramanium Medicine Store,N/A,N/A,N/A,N/A,N/A,13.0090912,77.656317,N/A,N/A,N/A,N/A
Chaya Super Speciality Hospital,N/A,N/A,N/A,Karnataka,560041,13.0104342,77.6583242,N/A,N/A,N/A,N/A
Altius Hospital,N/A,N/A,N/A,Karnataka,560010,12.9849537,77.5569222,N/A,N/A,N/A,N/A
Bangalore Diabetes Hospital,N/A,N/A,N/A,N/A,N/A,12.9918415,77.5968531,N/A,N/A,N/A,N/A
NU Hospitals,N/A,N/A,N/A,N/A,N/A,13.011845,77.5526061,N/A,N/A,N/A,N/A
V. S. Achar Multispeciality Hospital,N/A,N/A,N/A,Karnataka,560027,12.9472091,77.5966914,N/A,N/A,N/A,N/A
Nature Cure Hospital,Bangalore,9th Main Road,1537/1,Karnataka,560011,12.933223,77.5842632,N/A,N/A,+91 80 2663 1945;+91 80 2244 6035,https://www.jayanagarnaturecure.in/
Government Hospital,N/A,N/A,N/A,N/A,N/A,12.966103,77.5549647,N/A,N/A,N/A,N/A
"Emergency Block , NIMHANS",N/A,N/A,N/A,N/A,N/A,12.9403849,77.5945391,yes,N/A,N/A,N/A
Usha Vikranth Diagnostic Center and Hospital,N/A,N/A,N/A,N/A,N/A,12.9138086,77.5273633,N/A,N/A,N/A,N/A
Nethradhama Superspeciality Eye Hospital,N/A,N/A,N/A,Karnataka,560038,12.9719805,77.6474011,N/A,N/A,N/A,https://www.nethradhama.org/
Care Health,N/A,N/A,N/A,Karnataka,560024,13.0552027,77.6028234,N/A,N/A,N/A,N/A
Sri Shankara Cancer Hospital And Research Centre (A Service Unit Of Sscf),N/A,N/A,N/A,Karnataka,560004,12.9542624,77.5709473,N/A,N/A,080-26981000,http://shankaracancerfoundation.org/
Vathsalya Speciality Hospital,N/A,N/A,N/A,Karnataka,560079,12.9939752,77.5391801,N/A,gynaecology,N/A,N/A
Lakeside Medical Centre and Hospital,N/A,N/A,N/A,N/A,N/A,12.9878631,77.6177434,N/A,N/A,N/A,N/A
Maruthi Hospital,N/A,N/A,N/A,Karnataka,560072,12.9677607,77.5413282,N/A,N/A,N/A,N/A
Aparna Hospital,N/A,N/A,N/A,N/A,N/A,12.9362087,77.616947,N/A,N/A,N/A,N/A
Apollo Spectra Hospitals,N/A,N/A,N/A,N/A,N/A,12.9338175,77.6201615,N/A,N/A,N/A,N/A
Sankeerthana Hospital and Fertility Center,N/A,N/A,N/A,Karnataka,560034,12.9256013,77.6359638,N/A,N/A,N/A,N/A
Shiva Vision Care,N/A,N/A,N/A,N/A,N/A,12.9366526,77.6277125,N/A,N/A,N/A,N/A
Sujatha Hospital,N/A,N/A,N/A,N/A,N/A,12.9781293,77.6372391,N/A,N/A,N/A,N/A
The Eye Surgical Centre,N/A,N/A,N/A,Karnataka,560010,12.9821954,77.5493143,N/A,N/A,N/A,N/A
Lourdes High School,N/A,N/A,N/A,N/A,N/A,13.0182102,77.540004,N/A,N/A,N/A,N/A
Boregowda Lingamma Hospital,N/A,N/A,N/A,N/A,N/A,13.016705,77.539386,N/A,N/A,N/A,N/A
Kanva Hospital,N/A,N/A,N/A,N/A,N/A,13.0175606,77.5394308,N/A,N/A,N/A,N/A
Yogananda Multi Speciality Hospital,N/A,N/A,N/A,Karnataka,560070,12.9180137,77.5594723,N/A,N/A,N/A,N/A
Dr. Agrawal's Eye Hospital,N/A,N/A,N/A,Karnataka,560004,12.9998982,77.5501121,N/A,N/A,N/A,N/A
Ashok Hospital,N/A,N/A,N/A,Karnataka,560079,12.9948905,77.5347984,N/A,N/A,N/A,N/A
Balaji Hospital and Gastroenterology Center,N/A,N/A,N/A,Karnataka,560019,12.9376087,77.5666429,N/A,N/A,N/A,N/A
Chaitanya Hospital,N/A,N/A,N/A,Karnataka,560032,13.0237316,77.5941463,N/A,N/A,N/A,N/A
Dr. B. Venkatasubbarao Memorial Hospital,N/A,N/A,N/A,Karnataka,560003,12.9981979,77.568151,N/A,N/A,N/A,N/A
"South City Hospital, Bengaluru Urban",N/A,N/A,N/A,Karnataka,560004,12.9497745,77.5802779,N/A,N/A,N/A,N/A
"Sri Sai Hospital, Bengaluru Urban",N/A,N/A,N/A,Karnataka,560043,13.0370143,77.6238732,N/A,N/A,N/A,N/A
Jupiter Hospital And Institute Of Vascular Surgery,N/A,N/A,N/A,Karnataka,560003,12.9998457,77.5663653,N/A,N/A,N/A,N/A
"Shreyas Hospital, Bengaluru Urban",N/A,N/A,N/A,Karnataka,560043,12.9829857,77.5309655,N/A,N/A,N/A,N/A
Rajalakshmi Multispeciality Hospital,N/A,N/A,N/A,Karnataka,560078,12.9168151,77.5795484,N/A,N/A,N/A,N/A
Ashirwad Hospital,N/A,N/A,N/A,Karnataka,560032,13.0289685,77.6045479,N/A,N/A,N/A,N/A
Asha Kiran Children & Women Health Care Centre,N/A,N/A,N/A,Karnataka,560032,13.0263529,77.5933929,N/A,N/A,N/A,N/A
Radha Maternity and Surgical Hospital,N/A,N/A,N/A,Karnataka,560053,12.9690441,77.5688544,N/A,N/A,N/A,N/A
"Hitech Kidney Stone Hospital, Bengaluru Urban",N/A,N/A,N/A,Karnataka,560001,12.9878104,77.5809833,N/A,Dornier AlphaLithotripsy Treatment; X-Rays; US Scan; Urologist Consultation,N/A,http://www.hitechkidneystonehospital.org/
Sri Dhavantari Ayurveda Hoapital,N/A,N/A,N/A,Karnataka,560010,12.9822186,77.5599374,N/A,N/A,N/A,N/A
Vaidyam Hospital,N/A,N/A,N/A,Karnataka,560040,12.9845512,77.5528322,N/A,N/A,N/A,N/A
Suresh Hospital - Bangalore,N/A,N/A,N/A,Karnataka,560010,12.9897745,77.5551014,N/A,N/A,N/A,N/A
Lakshmi Maternity Home,N/A,N/A,N/A,Karnataka,560055,13.0058226,77.5694512,N/A,N/A,N/A,N/A
Manjunatha Maternity Home and Surgical Centre,N/A,N/A,N/A,Karnataka,560055,13.0077265,77.5696993,N/A,N/A,N/A,N/A
Samprathi Eye Hospital And Squint Centre,N/A,N/A,N/A,Karnataka,560020,12.9932806,77.580691,N/A,N/A,N/A,https://squinteyehospital.com/
Shankara Nethralaya Eye Hospital,N/A,N/A,N/A,Karnataka,560096,13.0089953,77.5406188,N/A,N/A,N/A,N/A
Supra South City Hospital,N/A,N/A,N/A,Karnataka,560078,12.8919509,77.5799654,N/A,N/A,N/A,N/A
ChanRe Rheumatology and Immunology Center and Research,N/A,N/A,N/A,Karnataka,560010,12.9992083,77.550269,N/A,N/A,N/A,https://www.chanrericr.com/
Chandana Hospital,N/A,N/A,N/A,Karnataka,560072,12.9579894,77.5114394,N/A,N/A,N/A,N/A
"J M J Hospital, Bengaluru Urban",N/A,N/A,N/A,Karnataka,560045,13.0398217,77.6230843,N/A,N/A,N/A,N/A
Sri Krishna Hospital,N/A,N/A,N/A,Karnataka,560070,12.9215013,77.5655432,N/A,N/A,N/A,N/A
Malleswaram Eye Day Care Hospital - Bengalore,N/A,N/A,N/A,Karnataka,560003,12.9966677,77.5716037,N/A,N/A,N/A,N/A
Mahaveer Eye Hospital Private Limited,N/A,N/A,N/A,Karnataka,560020,12.9933551,77.5729595,N/A,N/A,N/A,http://dpal.kar.nic.in/Kanunu%20padakosha%20PDF%20Files/Recognised%20Hospitals.pdf
Bilva Hospital,N/A,N/A,N/A,Karnataka,560003,12.9989833,77.5802015,N/A,N/A,N/A,N/A
"Nethradhama Superspeciality Eye Hospital, Jayanagar",N/A,N/A,N/A,Karnataka,560082,12.9256932,77.5773127,N/A,ophthalmology,N/A,https://www.nethradhama.org/
Dr Agarwals Eye Hospital Ltd,N/A,N/A,N/A,Karnataka,560076,12.9122295,77.5994906,N/A,N/A,N/A,N/A
Sri Venkateshwara Hospitals,N/A,N/A,N/A,Karnataka,560068,12.926471,77.6167399,N/A,N/A,N/A,http://dpal.kar.nic.in/Kanunu%20padakosha%20PDF%20Files/Recognised%20Hospitals.pdf
"Nova Specialty Surgery Center, Koramangala",N/A,N/A,N/A,Karnataka,560034,12.9339097,77.620208,N/A,multi speciality,N/A,www.novaspecialtysurgery.com
C.S. Hospital,N/A,N/A,N/A,Karnataka,560063,12.9118831,77.5528805,N/A,N/A,N/A,N/A
Sri Kalabyraveshwara Swamy Ayurvedic Medical College hospital,N/A,N/A,N/A,Karnataka,560104,12.9650437,77.5435022,N/A,N/A,N/A,http://skayurvediccollegeandhospital.com/
"Anugraha Hospital, Vijayanagar",N/A,N/A,N/A,Karnataka,560079,12.9765645,77.5455876,N/A,N/A,N/A,N/A
Amar Hospital,N/A,N/A,N/A,Karnataka,560053,12.9711822,77.5781228,N/A,N/A,N/A,N/A
Retina Institute Of Karnataka,N/A,N/A,N/A,Karnataka,560018,12.95727,77.5640827,N/A,N/A,N/A,https://www.retinainstitute.org/
The Venlakh Hospital,N/A,N/A,N/A,Karnataka,560018,12.9572978,77.5644522,N/A,N/A,N/A,N/A
Vishwabharathi Hospital Pvt. Ltd,N/A,N/A,N/A,Karnataka,560019,12.9406698,77.5644596,N/A,N/A,N/A,N/A
"Sunetra Eye Hospital, Bengaluru Urban",N/A,N/A,N/A,Karnataka,560050,12.9404548,77.5578493,N/A,N/A,N/A,N/A
Sri Vivekananda Sevashrama,N/A,N/A,N/A,Karnataka,560070,12.9253299,77.5711893,N/A,N/A,N/A,N/A
Saraswathi Hospital,N/A,N/A,N/A,Karnataka,560070,12.9276382,77.568896,N/A,N/A,N/A,N/A
National Institute of Mental Health and Neuro Sciences,N/A,N/A,N/A,Karnataka,560029,12.9386321,77.5944105,N/A,N/A,N/A,https://nimhans.ac.in/
Netraspandana Healthcare and Research Pvt. Ltd,N/A,N/A,N/A,Karnataka,560072,12.9291283,77.5461361,N/A,N/A,N/A,N/A
Nu Trust,N/A,N/A,N/A,Karnataka,560070,12.9176216,77.5550705,N/A,N/A,N/A,N/A
"Padmavathi Hospital, Bengaluru Urban",N/A,N/A,N/A,Karnataka,560079,12.9817311,77.5333714,N/A,N/A,N/A,N/A
Sri Lakshmi Multi Speciality Hospital,N/A,N/A,N/A,Karnataka,560054,12.9881868,77.5087273,N/A,N/A,N/A,N/A
K C Raju Multi Speciality Hospital,N/A,N/A,N/A,Karnataka,560043,13.0090828,77.6235594,N/A,N/A,N/A,N/A
Ring Road Hospital,N/A,N/A,N/A,Karnataka,560085,12.9278657,77.5519297,N/A,N/A,N/A,N/A
"Vasan Eye Care Hospital, Bannergatta Road",N/A,N/A,N/A,Karnataka,560076,12.8822813,77.5957945,N/A,N/A,N/A,http://www.vasaneye.in/
Varalakshmi Hospital,N/A,N/A,N/A,Karnataka,560068,12.924624,77.6170966,N/A,N/A,N/A,N/A
Kala Hospital,N/A,N/A,N/A,Karnataka,560022,13.0223669,77.5587304,N/A,N/A,N/A,N/A
"Shekhar Hospital, Jayanagar",N/A,N/A,N/A,Karnataka,560039,12.917589,77.5948906,N/A,N/A,N/A,N/A
"Vasan Eye Care Hospital, Sarakki",N/A,N/A,N/A,Karnataka,560078,12.9103393,77.5732398,N/A,N/A,N/A,http://www.vasaneye.in/
Mahanth Hospital,N/A,N/A,N/A,Karnataka,560068,12.9079615,77.6235715,N/A,N/A,N/A,N/A
Sunayana Eye Hospital,N/A,N/A,N/A,Karnataka,560041,12.9255233,77.5937748,N/A,N/A,N/A,https://sunayanaeyehospital.com/
"Lakshmi Hospital, Ganganagar",N/A,N/A,N/A,Karnataka,560032,13.024837,77.592089,N/A,N/A,N/A,N/A
Lokhande S Hospital,N/A,N/A,N/A,Karnataka,560043,13.0186045,77.6479433,N/A,N/A,N/A,N/A
Dr. T.V.Ramesh Piles Hospital,N/A,N/A,N/A,Karnataka,560032,13.0250141,77.5856289,N/A,Piles; fistula; fissure,N/A,https://www.pilesramesh.com/
Dr Kamini Rao Hospital(A Unit Of Bacc Health Care Pvt Ltd),N/A,N/A,N/A,Karnataka,560041,12.9163994,77.5847384,N/A,N/A,N/A,N/A
HCG,N/A,N/A,N/A,Karnataka,560027,12.9605309,77.592659,N/A,N/A,N/A,N/A
Dr Ambedkar Medical College Hospital,N/A,N/A,N/A,Karnataka,560045,13.0218188,77.613084,N/A,multi speciality,N/A,http://www.bramc.org/
"Supriya Hospital, Bengaluru Urban",N/A,N/A,N/A,Karnataka,560021,12.9929043,77.5588015,N/A,N/A,N/A,N/A
Manju Sree Hospital,N/A,N/A,N/A,Karnataka,560032,13.0212406,77.6070739,N/A,N/A,N/A,N/A
Raj Mahal Vilas Hospital,N/A,N/A,N/A,Karnataka,560094,13.0322819,77.5770459,N/A,N/A,N/A,N/A
Devi Eye Hospital,N/A,18th Main Road,434,Karnataka,560095,12.9412109,77.6238987,N/A,multi speciality,N/A,http://www.devieyehospital.in/
Essential Hospital,N/A,N/A,N/A,Karnataka,560072,12.974865,77.5096312,N/A,N/A,N/A,N/A
Shree Vijayalakshmi Hospital and Trauma Centre,N/A,N/A,N/A,Karnataka,560043,13.0373572,77.6409059,N/A,N/A,N/A,N/A
Kalasa Maternity Home,N/A,N/A,N/A,Karnataka,560019,12.9548208,77.5672585,N/A,N/A,N/A,N/A
Sidvin Hospital Pvt Ltd,N/A,N/A,N/A,Karnataka,560010,12.982442,77.5493681,N/A,N/A,N/A,N/A
Abhilash Hospital And Sara Rehabilitation Centre,N/A,N/A,N/A,Karnataka,560085,12.9246384,77.5509238,N/A,N/A,N/A,N/A
"HCG, Koramangala",N/A,N/A,N/A,Karnataka,560095,12.9343279,77.6228848,N/A,Clinical Labs; Diagnosis; Medical Oncology; Radiation oncology; Surgical Oncology,N/A,https://www.hcgoncology.com/
"Ganesh Nursing Home, Bengaluru Urban",N/A,N/A,N/A,Karnataka,560080,12.8957636,77.6330289,N/A,N/A,N/A,N/A
Kavya Hospital,N/A,N/A,N/A,Karnataka,560068,12.8987442,77.6263127,N/A,N/A,N/A,N/A
Sg Hospital,N/A,N/A,N/A,Karnataka,560085,12.9275311,77.5457901,N/A,N/A,N/A,N/A
Yadiyuru Maternity Hospital,N/A,N/A,N/A,Karnataka,560082,12.9271494,77.5766194,N/A,N/A,N/A,N/A
Place Guttahalli Maternity Home,N/A,N/A,N/A,Karnataka,560003,12.9988238,77.5819892,N/A,N/A,N/A,N/A
"Phoenix Hospital, Bengaluru Urban",N/A,N/A,N/A,Karnataka,560027,12.9608027,77.5911717,N/A,N/A,N/A,N/A
